"","Fecha","Chirps_precipitacion","Chirps_runoff_acum","Persiann_precipitacion","Persiann_runoff_acum","GPM_precipitacion","GPM_runoff_acum","Era5_Surface_runoff","Era5_volumetric_soil_water_layer_1","Era5_volumetric_soil_water_layer_2","Era5_volumetric_soil_water_layer_3","Era5_volumetric_soil_water_layer_4","inundacion","num_inundacion"
"3",2000-06-03,319.028919104034,8867.13465828863,18.5246195389944,171.670008613024,583.053787713123,4053.33502783786,0.00402612785705055,0.452068625114781,0.456017849056262,0.457972622464206,0.472477988419935,1,2
"4",2000-06-04,50092.912518548,28100.976042964,1689.85963670413,692.245185859909,28424.5600022995,16237.4672676892,0.0340572682575887,0.454741340575978,0.456306435403617,0.45624531531393,0.472134268475457,0,0
"5",2000-06-05,21162.4213197278,9949.44841932652,796.764990700927,267.83821507264,10336.8160559257,6319.54234752588,0.0131463252710778,0.453442271205344,0.457143707425122,0.454722649583091,0.471958182041734,0,0
"6",2000-06-06,24773.0831290166,15990.9357595461,1402.01686751048,642.902056613224,20246.6316355998,13385.263651866,0.0128199446960229,0.449255513321301,0.457856744994895,0.454737072717978,0.471721959238226,0,0
"7",2000-06-07,15840.4120874536,5935.64497139351,996.644128265568,335.818107354943,12605.5746123621,6991.76384943779,0.0155449340204669,0.450834202075084,0.458473528801596,0.45556403567782,0.471524713386082,0,0
"8",2000-06-08,17813.84283093,6809.7495520598,1048.88262847989,446.678152092874,9623.08405833908,6979.36926888284,0.00965588612325197,0.453213326038573,0.458078382941807,0.454871966294274,0.471305996066613,0,0
"9",2000-06-09,16945.1436021337,4537.77371614377,1061.86156162,339.934405083628,13325.8155974385,5934.94768730441,0.013360147302993,0.455683286233138,0.460616968985515,0.455714182595312,0.471064873859456,0,0
"10",2000-06-10,27055.3294953393,8396.24205624607,1422.80090419545,501.70328164602,14126.6738529493,6042.76507805879,0.0127333775348974,0.45327494488642,0.459457314769599,0.456515695325061,0.470914755338661,0,0
"11",2000-06-11,20282.6739140062,6213.3161711796,944.744214208453,324.079253442888,4663.72540746634,3344.63032077721,0.0584669199721509,0.444932881850453,0.454809084553675,0.457143861505292,0.470955147074118,0,0
"12",2000-06-12,24903.0205893479,10102.7772096074,1357.23942853703,536.665547246656,15565.6796243075,6725.67634668171,0.0239653810222575,0.449330383722354,0.454639095845827,0.455029873103262,0.470712112898538,0,0
"13",2000-06-13,20499.5347282157,8169.50209407979,884.706746546427,284.619889065533,8391.27361267601,3417.25800560678,0.0882344709454925,0.446744577229956,0.454638842362688,0.457310540535447,0.471054052044672,0,0
"14",2000-06-14,25429.3847591737,10284.6036614845,1150.55859354057,447.241409198902,9454.74512908341,4749.05781721922,0.0195816148921596,0.453619577636535,0.455058589510447,0.456142199448261,0.471208145047423,0,0
"15",2000-06-15,37238.6539936674,15273.2368390594,1656.52000494564,598.473257442591,14305.6832706744,5653.49657171155,0.0947479085244246,0.455150432018009,0.458366077451754,0.459200696672579,0.471687819400822,0,0
"16",2000-06-16,11648.593189951,8407.25458526664,440.405730353968,283.491866193968,4220.04759754261,2716.61319967443,0.0470357591888986,0.45416985963219,0.457511538470719,0.459701441036446,0.472294227904655,1,1
"17",2000-06-17,69513.2613753777,34842.6980742403,2204.31203787187,999.044445737699,24898.0017913349,11672.0863242932,0.069819629004713,0.457229356610083,0.459563799053061,0.459604209534019,0.472685995642187,1,2
"18",2000-06-18,13507.5093352299,12798.9559704147,569.494620217529,296.576321987977,6352.6215997399,4427.40367684018,0.0179608667122526,0.454885685652077,0.457939689452543,0.457306079227368,0.472836587396074,0,0
"19",2000-06-19,29858.3605150354,23919.8849490905,875.435850599233,528.563884986667,4053.52332612833,5250.76589700552,0.0418125166096016,0.456708967160131,0.459417972186542,0.457676924225979,0.472801582515077,0,0
"20",2000-06-20,6475.81171326731,4800.31432500921,280.914746606701,86.0327468615378,6876.56301588391,2444.68861591179,0.0100762408349788,0.45302049938856,0.457397725083928,0.45646065849656,0.472675522166358,1,1
"21",2000-06-21,45692.9810924306,20044.7633237558,2031.40252573864,740.816344468775,18381.6209151404,6207.69453929963,0.0291160921179382,0.45007238939555,0.455707540107078,0.45589681462274,0.472427875362781,0,0
"22",2000-06-22,23423.7565812083,9583.50686364328,1093.13574922225,395.907751918133,12185.3677919696,5143.41375383529,0.0216922327273024,0.449235670383262,0.455509169437733,0.455323874164252,0.472163801040721,0,0
"23",2000-06-23,42878.8114537426,22979.4626408829,1878.85692026101,974.400019959676,20675.4518149924,10456.2879793475,0.0445047407016317,0.450699823072707,0.457182536431825,0.456452585573122,0.472152808487405,0,0
"24",2000-06-24,46463.1561386052,22752.4738920052,1854.48982356576,844.213037663435,20774.3759994393,10389.9003909416,0.0279027027057692,0.458863096787805,0.46036286659666,0.459606975529241,0.472404601450925,1,1
"25",2000-06-25,18118.3090469809,15317.5011763192,731.820419578342,545.238751170728,8262.23389518759,7351.45371797213,0.0115594649987539,0.461855263593352,0.460303103882666,0.460492109273762,0.472860548770474,1,2
"26",2000-06-26,8809.00485565802,10102.8210455316,678.665666661426,443.420612340059,5420.30727289801,5136.80291201266,0.00819544892649259,0.45048804035361,0.455107640902058,0.458612499889884,0.472723009129483,0,0
"27",2000-06-27,9194.14764591385,2985.25581002318,581.967805876452,152.218505007133,5141.60553399057,2051.94650248711,0.00387199599518848,0.445592760899603,0.449376862103939,0.454316489794982,0.472332791002243,0,0
